Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C2, C3, C4, C5, C6, C7, C8, C9",0402,12,100n,
"J1, J12, J2, J3, J4, J5, J6, J7, J8",PinSocket_2x04_P2.54mm_Vertical,9,Conn_02x04_Odd_Even,
"J10, J11, J13, J14, J15, J9",PinHeader_2x04_P2.54mm_Vertical,6,Conn_02x04_Odd_Even,
"R1, R10, R11, R12, R2, R3, R4, R5, R6, R7, R8, R9",0402,12,22,
"U1, U3, U5",TSSOP-16_4.4x5mm_P0.65mm,3,ADS1220xPW,C48263
"U2, U4, U6",TSSOP-16_4.4x5mm_P0.65mm,3,ADS1220xPW,
