Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J2",PinHeader_1x17_P2.54mm_Vertical,2,Conn_01x17,
"U1, U10, U11, U12, U2, U3, U4, U5, U6, U7, U8, U9",P4V-MINI,12,P4V-MINI,
